id,lon,lat,tiv,island,route,location,MMI_med,MMI_std,prob_negligible,prob_moderate,prob_substantial,prob_very_heavy,prob_destruction
1122,-154.85669871,19.44438795,100,Hawaii,137,RIGHT,6.81,0.54,0.699321930091,0.484806116223,0.210538577524,0.0394317100819,0.00340271470588
1123,-154.8801781,19.42725854,100,Hawaii,137,RIGHT,6.3,0.42,0.576079817277,0.221677367628,0.0718713223877,0.0179871034996,0.000511764705882
1130,-154.90247007,19.40988474,100,Hawaii,137,RIGHT,6.36,0.42,0.592071725094,0.250601248264,0.0852325173633,0.0198482578109,0.000729317647059
1133,-154.91611421,19.40169172,100,Hawaii,137,RIGHT,6.2,0.42,0.548413809364,0.178670825987,0.0529281726118,0.0152406949615,0.00023137254902
1138,-154.96280321,19.3642954,100,Hawaii,137,RIGHT,7.03,0.58,0.745044127303,0.566777489823,0.270745093367,0.0531952101988,0.00530582236421
1163,-154.84764025,19.45587961,100,Hawaii,137,RIGHT,6.81,0.54,0.699321930091,0.484806116223,0.210538577524,0.0394317100819,0.00340271470588
1210,-155.09231191,19.56323868,100,Hawaii,11,RIGHT,5.98,0.34,0.482722269798,0.117623432472,0.030071055876,0.0106555438431,0.0
1211,-155.10403007,19.55410959,100,Hawaii,11,RIGHT,6.02,0.35,0.49519952731,0.124653895552,0.0320725810447,0.0113527249839,2.38431372549e-06
1212,-155.11545002,19.54473804,100,Hawaii,11,RIGHT,5.93,0.35,0.46660874726,0.109277550092,0.027804664093,0.00980118247059,0.0
1213,-155.12692917,19.53507772,100,Hawaii,11,RIGHT,5.89,0.36,0.453294689773,0.102715220572,0.0260511934574,0.00912654513725,0.0
1214,-155.13570007,19.52359657,100,Hawaii,11,RIGHT,5.94,0.36,0.469878879113,0.110934831734,0.0282514202791,0.00997116611765,0.0
1215,-155.14572339,19.49625639,100,Hawaii,11,RIGHT,6.03,0.37,0.498277108948,0.126677820455,0.0327104588893,0.0115348414594,5.35588235294e-06
1216,-155.14045504,19.50981903,100,Hawaii,11,RIGHT,5.94,0.36,0.469878879113,0.110934831734,0.0282514202791,0.00997116611765,0.0
1217,-155.15434798,19.48428238,100,Hawaii,11,RIGHT,6.14,0.36,0.531178769332,0.156851460024,0.0438985849233,0.0137982331298,0.000114525490196
1218,-155.16318293,19.472493,100,Hawaii,11,RIGHT,5.94,0.35,0.469878879113,0.110934831734,0.0282514202791,0.00997116611765,0.0
1219,-155.1703024,19.45964291,100,Hawaii,11,RIGHT,5.94,0.35,0.469878879113,0.110934831734,0.0282514202791,0.00997116611765,0.0
1220,-155.18305501,19.45303062,100,Hawaii,11,RIGHT,5.64,0.34,0.362052168977,0.065006901845,0.0164223151628,0.00520529317647,0.0
1221,-155.19791435,19.44973163,100,Hawaii,11,RIGHT,5.6,0.32,0.346245321267,0.059658302583,0.0151146046512,0.00464329411765,0.0
1222,-155.21143449,19.44292077,100,Hawaii,11,RIGHT,5.36,0.32,0.24511954505,0.0329823822878,0.00880425227907,0.00181917741176,0.0
1223,-155.22401082,19.43479236,100,Hawaii,11,RIGHT,5.49,0.34,0.301190394962,0.0461921320111,0.0118842812093,0.003222142,0.0
1224,-155.2353022,19.42496875,100,Hawaii,11,RIGHT,6.06,0.33,0.507422071426,0.133508028557,0.0350188168118,0.0121044770216,2.13176470588e-05
1225,-155.24964099,19.42441673,100,Hawaii,11,RIGHT,5.58,0.33,0.33822438105,0.0570699712177,0.0144867929302,0.00437082541176,0.0
